adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/qnTOfllIJncEkUoGID2PRrvfzqS.jpg,"[27, 53]",1032321,de,Home Sweet Home - Wo das Böse wohnt,"When pregnant Maria starts readying her fiancé’s family estate for bed and breakfast guests, something isn’t right; the power seems to be on the blink and strange noises become all too common. Determined to find the truth, Maria soon begins to realise that darker secrets than she could imagine are lurking in this house, and her soon-to-be-family’s past.",2.041,/cBC793Oms3pnKNTPztKdUa4Bs4b.jpg,2024-01-25,Home Sweet Home - Where Evil Lives,False,3.2,7
False,/fv3xytKUqDc0GLfYcsg3HddvR85.jpg,"[35, 27]",1148040,en,Booger,"After the death of her best friend Izzy, Anna focuses all her attention on Booger, the stray cat which she and Izzy took in. When Booger bites her, she begins to undergo a strange transformation.",2.04,/b9I2lAvCyuUyjLg3fIwg8zzw4IQ.jpg,2024-09-13,Booger,False,4.2,5
False,,[18],635711,sr,Поред нас,"Set ten years on from high school drama Next to Me, this film places the former classmates in unfamiliar territory, both physical and psychological.",2.04,/xITKwKxbmDnC01NQzwARuWnolhv.jpg,2024-12-23,Next to Us,False,0.0,0
False,,[99],1228942,fr,"Porno, ton univers impitoyable","The findings are disturbing. More than half of 12-13 year-old boys and girls visit porn sites every month. With just a few clicks, they can access them via cell phones or computers. Between them, these porn platforms account for more than 5 billion visits per month.",2.039,/vlNk8b1YoApwgkOLc1Zx7lxjzVN.jpg,2024-01-09,"Porno, ton univers impitoyable",False,0.0,0
False,/uveUZlZBrRYnABB7l3IyUrLT1Yn.jpg,[99],1219892,nl,De wereld van Carlijn,"When you see Carlijn Kingma’s impressive artwork The Waterworks of Money, that efficiently illustrates the way the financial sector runs through everyday life, it’s hard to imagine how one would even begin creating something so highly detailed and intricate. But patience seems to be the keyword of this documentary portrait that follows Kingma from the inception of The Waterworks of Money to its display at the Biennale in Venice. Filmmaker Ariane Greep shows a master at work, slowly but surely refining her work into the masterpiece it became.",2.039,/5508Tn6IlKxnX0TNHvryVjac1j6.jpg,2024-03-28,The World According to Carlijn,False,0.0,0
False,/ogEaChOWGTpmyu3rKQusMB8Fi0w.jpg,[99],1323172,en,Note Worthy: 50 Seasons of Jazz Basketball,"Take a trip back through the last 50 years of Jazz basketball. From the move to Utah in 1979 to the current day team, experience Jazz basketball like never before with our new documentary; Note Worthy.",2.038,/6LPvjOQLwoIN7ivoauNy2SxZEG7.jpg,2024-08-12,Note Worthy: 50 Seasons of Jazz Basketball,False,0.0,0
False,/mWBcF383FYhXHLaPmQRuMSj1Rwr.jpg,"[18, 10770]",1254888,en,Just in Time,"A couple struggling to conceive receives an antique watch from a stranger, leading the wife to realize that the answers she seeks will come in due time.",2.038,/kDKURB9y9RQYFCd2NCnXaT9Vk2R.jpg,2024-03-26,Just in Time,False,8.0,3
False,/6qqaLsAj7sqjk1IioZTLDKm1a5v.jpg,[16],1233350,hi,The Girl Who Lived in the Loo,"A ten-year-old girl has discovered her haven: the loo. In a bathroom, her life is calm and secure, but also somewhat lonely. She gradually tries to find a way to deal with her obsession and navigate her way through life.",2.038,/vFi2y1AilcIvxHs4QowCFtOlISd.jpg,2024-02-20,The Girl Who Lived in the Loo,False,0.0,0
False,/2ijkG7bV8V7Bwrp36vFmtEPKZn.jpg,[],1385440,fr,Un miracle brésilien,"Philippe Vallois has been directing fiction and documentary films in France since 1974. In Brazil, a few years ago, the handsome Bruno Hilario discovered Vallois' film Johan during his film studies , and fell in love with it. Now director of the Belo Horizonte film library, he worked like the devil to finance Philippe's visit to Brazil with seven of his films. The director not only travels there with his camera, but also takes advantage of the experience to look back on his work, which is often linked to his love affairs and trials.",2.037,,2024-11-16,Un miracle brésilien,False,0.0,0
False,/lYILtcQ7SWmpJONbmzQE4gkvA7E.jpg,[35],1283655,pt,Top Love - Só e Bem Acompanhado!,"All was going well in Paulinho Gogó's life, until Nêga Juju, his beloved, leaves him. As the saying goes: bad luck in love, good luck in the game. Paulinho and his friends make fortunes through betting, yet he is not satisfied. Many twists and turns, Paulinho realizes that to be happy, he just needs to pursue his dream: play samba with his friends at his favorite bar, where he finds his new love.",2.037,/dnEDznGf2ATL0onIlDcGFSJcnEb.jpg,2024-05-01,Top Love,False,5.9,6
